Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
34200,0.02,0.98,0.7,18.15,0.009536566247113491,0.9979936235746704
34300,0.02,0.98,0.7,18.55,0.009235016372717918,0.997263566763754
34400,0.01,0.99,0.7,18.45,0.00949195178494372,1.0009663374434414
34500,0.06,0.93,0.7,18.81,0.009422179590555897,1.0038197267862385
34600,0.03,0.97,0.7,18.6,0.009710630655493966,0.999189552543141
34700,0.0,1.0,0.7,16.44,0.009363849429095671,0.9971331014254383
34800,0.0,0.99,0.7,12.98,0.009328989946739258,1.0015195114542315
34900,0.01,0.99,0.7,12.75,0.009505345900870717,1.0083768144580416
35000,0.0,0.99,0.7,12.19,0.009671671386586884,1.0080308800464135
35100,0.0,1.0,0.7,11.35,0.010409220038946598,1.0034951520198485
35200,0.0,1.0,0.7,11.52,0.010639181095353802,0.9911535353445151
35300,0.0,0.99,0.7,13.86,0.01077021068960523,0.9879059776105353
35400,0.0,1.0,0.7,15.39,0.01062008061785591,0.985747258845083
35500,0.04,0.96,0.7,17.02,0.011060731011821817,0.9840101421272643
35600,0.32,0.68,0.7,16.92,0.011122342647780474,0.9762537138366882
35700,0.34,0.66,0.7,17.56,0.010803153314213776,0.9716635834294779
35800,0.54,0.46,0.7,18.25,0.010805983949337883,0.9649012043925338
35900,0.31,0.69,0.7,18.14,0.01071557509738134,0.9648331822730095
36000,0.01,0.99,0.7,16.85,0.01060331959684514,0.9668952256512605
36100,0.05,0.93,0.7,16.06,0.010830860517884669,0.973383788683164
36200,0.02,0.98,0.7,17.47,0.010695773078423825,0.9812365660129503
36300,0.02,0.98,0.7,18.67,0.010528808716795368,0.9768917206170171
36400,0.0,1.0,0.7,18.47,0.010572952067360017,0.9755082393999157
36500,0.09,0.9,0.7,16.89,0.010719592809921206,0.9707168261308419
36600,0.09,0.91,0.7,16.67,0.010078118177357513,0.9696149132422172
36700,0.17,0.83,0.7,16.73,0.010287540665798513,0.9738631831998116
36800,0.01,0.99,0.7,16.66,0.009999990757474575,0.9787805947455679
36900,0.01,0.99,0.7,15.3,0.009992263143999328,0.9830029747230351
37000,0.01,0.99,0.7,15.9,0.010120918676292532,0.9858641390067479
37100,0.04,0.96,0.7,16.57,0.009822279527680711,0.993517697201969
37200,0.21,0.78,0.7,17.35,0.009558186903139209,0.99969826920642
37300,0.03,0.96,0.7,17.11,0.009368817662564331,1.004960440557501
37400,0.03,0.97,0.7,17.38,0.008690064210690669,1.0070141423282601
37500,0.01,0.99,0.7,16.99,0.008764733375682534,1.009743794552473
37600,0.0,0.99,0.7,17.43,0.008658408715834662,1.0138361340383555
37700,0.1,0.9,0.7,18.11,0.00866002485507071,1.0159970583083409
